:START_ID(Hut),:END_ID(Hut),distance_km:float
230876197,624030029,9.249379564404299
230876197,6282702618,15.000063204891084
235207459,12801124335,5.12171496944184
235207459,289257081,15.063477206487304
235207459,289406212,22.87788710677942
235207459,339409574,23.363318409421353
235207459,1356403681,28.25377190745194
235207459,1356402131,30.467070432895838
235207459,339206157,32.24939737315106
235207459,339295282,35.211640107489515
235207459,470930791,36.533573950651125
235207459,1356403616,40.12550756613809
235207459,339409580,42.90327120941564
235207459,1356458489,48.28968089685954
235207459,5981708157,71.17728473329505
265777706,339599369,18.24546496245703
289250952,1356403616,11.70424918026563
289250952,4786913023,12.290130022782304
289250952,1356402043,14.212297716809518
289250952,339206155,19.351723368954588
289250952,1356401961,20.061738171652532
289250952,339295282,21.417618734935335
289250952,1356403016,34.50727469850793
289250952,12798384665,35.97759262315459
289250952,339206157,37.71685344287455
289257081,1356403681,13.231432402312782
289257081,339206157,17.22705786801189
289257081,12801124335,20.138019806597704
289257081,339295282,20.189300602350354
289257081,289406212,20.379715478284538
289257081,1356403616,25.103168060998932
289257081,1356402131,27.98850953783225
289257081,470930791,33.37310516160735
289257081,339409574,38.37962324657718
289257081,1356458489,45.81112000179597
289257081,339409580,57.91957604657156
289257081,5981708157,68.6987238382316
289406212,1356402131,7.625874290368043
289406212,470930791,13.718846549823276
289406212,1356458489,25.448484754331837
289406212,1356403681,33.570010179249195
289406212,339206157,37.5656356449483
289406212,12801124335,37.76600329613726
289406212,339295282,40.52787837928676
289406212,1356403616,45.44174583793535
289406212,5981708157,48.336088590767424
289406212,339409574,52.0010969188152
289406212,339409580,71.9364387433034
291141562,1356403665,6.821111387397863
292599738,339299835,8.79046660567906
292599738,1356402106,16.973384989131258
292599738,1356458236,22.00240124090059
292599738,12801187428,54.132901951081216
292599738,686169923,54.132901951081216
339206155,1356402043,7.735479804770346
339206155,1356403616,19.665027581727042
339206155,339295282,19.70564835895769
339206155,339206157,20.21603111016454
339206155,4786913023,31.628969432505485
