osm_id:ID(Point),lat:float,lon:float,is_hut:boolean,country_code,name
9165772427,67.2905836,14.4912196,false,,
9165772428,67.2906172,14.4914503,false,,
9165772429,67.2905991,14.4913151,false,,
9167797379,67.2921908,14.4940143,false,,
9167797380,67.2921665,14.4939686,false,,
9167797381,67.2921463,14.4939035,false,,
9167797382,67.29223,14.4940753,false,,
9167797383,67.2924064,14.4941894,false,,
9167797384,67.2923594,14.4941751,false,,
9167797385,67.292276,14.4941329,false,,
9167797386,67.2921224,14.4938219,false,,
9167797387,67.2920054,14.4932112,false,,
9167797388,67.2920007,14.4930874,false,,
9167797389,67.2920028,14.4930422,false,,
9167797390,67.2920098,14.4932709,false,,
9167797391,67.2920818,14.4936575,false,,
9167797392,67.292035,14.493507,false,,
9167797393,67.2920076,14.49333,false,,
9167797394,67.2929958,14.4946047,false,,
9167797395,67.2929715,14.4945762,false,,
9167797396,67.2929479,14.4945545,false,,
9167797397,67.2930163,14.4946287,false,,
9167797398,67.2930362,14.4947282,false,,
9167797399,67.2930336,14.4947085,false,,
9167797400,67.2930292,14.4946756,false,,
9167797401,67.2928991,14.4945221,false,,
9167797402,67.2926328,14.4943105,false,,
9167797403,67.2925933,14.4942534,false,,
9167797404,67.2925089,14.4941714,false,,
9167797405,67.2926699,14.4943576,false,,
9167797406,67.2928478,14.4944747,false,,
9167797407,67.2928217,14.4944471,false,,
9167797408,67.2927562,14.4944081,false,,
9167797409,67.2920048,14.4929171,false,,
9167797410,67.2918373,14.4904766,false,,
9167797411,67.2918316,14.4903841,false,,
9167797412,67.2918241,14.4902921,false,,
9167797413,67.2918423,14.4905779,false,,
9167797414,67.2918752,14.4909213,false,,
9167797415,67.2918632,14.4907855,false,,
9167797416,67.2918493,14.4906718,false,,
9167798417,67.291815,14.4901593,false,,
9167798422,67.2918047,14.4900516,false,,
9167798425,67.2918751,14.4910014,false,,
9167798426,67.2919927,14.4921455,false,,
9167798427,67.291975,14.4920457,false,,
9167798428,67.2920088,14.4928588,false,,
9167798429,67.2919936,14.492242,false,,
9167798430,67.291995,14.4927019,false,,
9167798431,67.2919914,14.4925126,false,,
9167798432,67.29199,14.4924286,false,,
9167798433,67.291894,14.491167,false,,
9167798434,67.291882,14.491109,false,,
9167798435,67.2918704,14.4910537,false,,
9167798436,67.2919088,14.4912597,false,,
9167798437,67.291974,14.4918485,false,,
9167798438,67.2919852,14.4916641,false,,
9167798439,67.2919564,14.4914583,false,,
9170424075,67.2917628,14.4901334,false,,
9170424079,67.2917812,14.4902758,false,,
9170424080,67.2918137,14.4908738,false,,
9170424081,67.2918393,14.4909553,false,,
9170424082,67.2918664,14.4910294,false,,
9170424083,67.2917951,14.4904172,false,,
9170424084,67.2917993,14.4905645,false,,
9170424085,67.2917999,14.4907208,false,,
9170448757,67.2940795,14.4938584,false,,
9170452639,67.2930622,14.4958866,false,,
9170452640,67.2930493,14.4957678,false,,
9170452641,67.2930493,14.4957068,false,,
9170452642,67.2930776,14.4960229,false,,
9170452643,67.2930423,14.4963062,false,,
9170452644,67.2930531,14.4962403,false,,
9170452645,67.2930765,14.4961012,false,,
9170452646,67.293035,14.4955765,false,,
9170452647,67.2930201,14.4950142,false,,
9170452648,67.2930202,14.4948889,false,,
9170452649,67.2930223,14.4947877,false,,
9170452650,67.2930164,14.4950809,false,,
9170452651,67.2930359,14.4954464,false,,
9170452652,67.2930367,14.4953744,false,,
9170452653,67.2930246,14.4952248,false,,
9170452662,67.2930273,14.4964457,false,,
9170452663,67.2930309,14.4964121,false,,
9170452664,67.2930373,14.4963531,false,,
9170452665,67.2930254,14.4965594,false,,
9170452669,67.2928532,14.4934439,false,,
9170452670,67.2928251,14.493361,false,,
9170452671,67.2928153,14.4932973,false,,
9170452672,67.292867,14.4934911,false,,
9170452673,67.2929228,14.4937121,false,,
9170452674,67.2929176,14.4936685,false,,
9170452675,67.2928928,14.4935881,false,,
9170452676,67.292806,14.4932615,false,,
9170452677,67.2926779,14.49228,false,,
9170452678,67.2926168,14.4918404,false,,
9170452679,67.2925671,14.4915338,false,,
9170452680,67.2926866,14.4923401,false,,
9170452681,67.2927713,14.4929294,false,,
9170452682,67.2927266,14.492616,false,,
9170452683,67.2927094,14.4924976,false,,
9170452684,67.2930636,14.4944232,false,,
9170452685,67.2930519,14.494321,false,,
9170452686,67.2930513,14.4942266,false,,
9170452687,67.2930697,14.4944789,false,,
9170452688,67.293047,14.4946816,false,,
9170452689,67.2930628,14.4946065,false,,
9170452690,67.2930738,14.4945546,false,,
9170452691,67.2930376,14.4941783,false,,
9170452692,67.2929616,14.4938764,false,,
9170452693,67.2929475,14.4938551,false,,
9170452694,67.2929331,14.4938163,false,,
9170452695,67.2929793,14.493958,false,,
9170452696,67.2930183,14.4940937,false,,
9170452697,67.2930059,14.4940598,false,,
9170452698,67.2929851,14.493999,false,,
9170452699,67.2925243,14.491279,false,,
9170452715,67.2919146,14.4906834,false,,
9170452718,67.2919815,14.490816,false,,
9170452719,67.2923087,14.4910226,false,,
9170452720,67.292157,14.4908435,false,,
9170452721,67.2920635,14.4908203,false,,
9170473510,67.293552,14.490875,false,,
9170473511,67.293533,14.490907,false,,
