osm_id:ID(Point),lat:float,lon:float,is_hut:boolean,country_code,name
6139683759,69.7999151,26.2459847,false,,
6139683760,69.7997147,26.2457856,false,,
6139683761,69.7995405,26.2456604,false,,
260726524,69.8108403,26.2663179,false,,
9338554737,69.8127282,26.246767,false,,
9338554738,69.8128207,26.246531,false,,
9338554739,69.8129059,26.2460804,false,,
9338554740,69.8130003,26.245147,false,,
9338554741,69.8126245,26.2468475,false,,
6064551277,69.8144097,26.2486422,false,,
6064551278,69.8139433,26.2504661,false,,
6064551279,69.8138507,26.2509596,false,,
6064551280,69.8138155,26.2512749,false,,
6064551268,69.816927,26.2544572,false,,
6064551269,69.816816,26.2546825,false,,
6064551270,69.8167493,26.2547576,false,,
6064551271,69.8166642,26.2547147,false,,
6064551272,69.8162866,26.2543392,false,,
6064551273,69.8162015,26.2542963,false,,
6064551274,69.8161015,26.2543392,false,,
6064551275,69.8160682,26.2543928,false,,
6064551276,69.8160224,26.2545322,false,,
6060837107,69.8106381,26.2725287,false,,
6060837110,69.8106762,26.2702708,false,,
260726521,69.8101877,26.2795988,false,,
260726522,69.8105219,26.2786131,false,,
260726523,69.8106932,26.2776752,false,,
6060837093,69.809497,26.2798075,false,,
6060837094,69.8098535,26.279508,false,,
6060837095,69.810439,26.2790572,false,,
6060837106,69.8105656,26.2781161,false,,
6060837108,69.8106753,26.2747657,false,,
6060837109,69.8107648,26.2767808,false,,
260726511,69.7997871,26.2904053,false,,
260726512,69.7999232,26.2907767,false,,
260726513,69.800635,26.2913387,false,,
260726514,69.8025573,26.2901876,false,,
260726515,69.8041369,26.2883562,false,,
260726516,69.8051341,26.2870949,false,,
6060741393,69.8047646,26.2876117,false,,
6060741394,69.801686,26.2910803,false,,
6060741395,69.8022901,26.2904225,false,,
6060741396,69.8013346,26.2913639,false,,
6060741397,69.8010073,26.2914245,false,,
6060741398,69.8001191,26.291017,false,,
260726517,69.8073498,26.2848011,false,,
260726518,69.8075938,26.2845309,false,,
260726519,69.8089852,26.2814961,false,,
260726520,69.8092889,26.2800813,false,,
6060741390,69.8066938,26.2850211,false,,
6060741391,69.8063097,26.28531,false,,
6060741392,69.806025,26.2856658,false,,
6060837092,69.8083877,26.2831842,false,,
9839338968,69.8368551,26.3192524,false,,
9839338969,69.8367009,26.3181843,false,,
9839338970,69.8365765,26.3174914,false,,
9839338971,69.8363625,26.3168851,false,,
9839338972,69.8362481,26.3162644,false,,
9839338973,69.8362879,26.315687,false,,
9839338974,69.8365626,26.315151,false,,
267384530,69.7504407,26.3198166,false,,
267384532,69.7502221,26.3253097,false,,
5163075440,69.7503826,26.3223043,false,,
5163075441,69.7503877,26.3236221,false,,
5163075442,69.7504235,26.3229139,false,,
5163075443,69.7504414,26.3240099,false,,
5163075444,69.7504342,26.3245366,false,,
5163075445,69.7503921,26.3247752,false,,
5163075446,69.750273,26.3250424,false,,
267384533,69.7489633,26.3321405,false,,
5163075434,69.7496354,26.3287559,false,,
5163075435,69.7493591,26.3305221,false,,
5163075436,69.7494759,26.3297622,false,,
5163075437,69.7497709,26.3270513,false,,
5163075438,69.7497842,26.3276078,false,,
5163075439,69.7499752,26.3259032,false,,
5163075423,69.747937,26.3363846,false,,
5163075424,69.7475519,26.3381307,false,,
5163075425,69.7477316,26.3371344,false,,
5163075429,69.7483136,26.3346384,false,,
5163075430,69.7480997,26.3357456,false,,
5163075431,69.7481939,26.3351304,false,,
5163075432,69.7483654,26.3341967,false,,
5163075433,69.7487667,26.3327064,false,,
5163075422,69.7468169,26.3408875,false,,
