:START_ID(Cabane),:END_ID(Cabane),distance_km:float
289250952,342300361,4.92446904421092
289250952,1356403616,11.70424918026563
289250952,4786913023,12.290130022782304
289250952,4353282250,13.487180120350924
289250952,1356402043,14.212297716809518
289250952,339206155,19.351723368954588
289250952,1356401961,20.061738171652532
289250952,339299832,21.041396799362605
289250952,339295282,21.417618734935335
289250952,4353281393,22.39264710524043
289250952,1850776971,23.923440175252004
289250952,1356403681,24.347925348105797
289250952,7125728798,28.229495352848186
289250952,339206157,30.681219899560475
289250952,1356403016,34.50727469850793
289250952,6721650214,34.91455279095495
289250952,289257081,36.807417241264545
289250952,4347622389,43.903809322585815
289250952,2399590109,44.96171240382983
289250952,5938138597,45.963336578617245
289250952,289406212,57.145995018200956
289250952,4428185514,62.80360332329858
289250952,1356402131,64.75478907774863
289250952,4085352857,65.69678250998179
289250952,339409575,68.78329158081543
289250952,662443730,69.76256449596444
289250952,564239031,70.59354912188685
289250952,5031942962,71.84183829822618
289250952,10697420952,74.11879769799758
289250952,1356458489,74.75542412539838
289250952,7125728380,74.86783836184523
289250952,12051067130,75.2256315625769
289250952,13147654602,78.10376095580428
289257081,2399590109,8.195432863913418
289257081,5938138597,9.46531659999008
289257081,1356403681,13.231432402312782
289257081,339206157,17.22705786801189
289257081,339295282,20.189300602350354
289257081,289406212,20.379715478284538
289257081,6721650214,23.40919874121248
289257081,1356403616,25.103168060998932
289257081,4428185514,26.037323783382156
289257081,1850776971,27.262536841325925
289257081,1356402131,27.98850953783225
289257081,4085352857,28.930502970065415
289257081,7125728798,29.146279841989486
289257081,4347622389,30.371068348647142
289257081,342300361,31.882948197053636
289257081,339409575,32.017012040899004
289257081,662443730,32.996284956047965
289257081,564239031,33.82726958197049
289257081,5031942962,35.07555875830977
289257081,10697420952,37.352518158081146
289257081,339206155,37.443088978176434
289257081,1356458489,37.98914458548194
289257081,7125728380,38.1015588219288
289257081,12051067130,38.459352022660575
289257081,13147654602,41.33748141588776
289257081,1356402043,43.32948132987087
289257081,4353282250,44.49999210636959
289257081,4307028591,45.299521859896885
289257081,1356458220,45.7698648170433
289257081,4307032309,46.428553404661855
289257081,1356401961,46.482649063174875
289257081,4770599203,47.12638911080925
289257081,4301772900,48.34529937965335
289257081,4353281393,48.76891940137722
289257081,4786913023,49.09754726404687
289257081,494311759,49.26162867210793
289257081,9874479667,52.39364827066283
289257081,339299832,57.84881404062713
289257081,4309250791,58.79698905330552
289257081,5981708157,60.87674842191753
289257081,1356403016,65.11404789520765
289257081,9812364124,70.48799975002862
289257081,1356180414,76.03962881244153
289406212,1356402131,7.625874290368043
289406212,4085352857,9.27624435828133
289406212,2399590109,12.470090995907862
289406212,564239031,14.173010970186425
289406212,5031942962,14.71292351084558
289406212,10697420952,16.989882910616977
289406212,1356458489,17.626509338017776
289406212,7125728380,17.73892357446463
289406212,12051067130,18.805093410876538
289406212,13147654602,20.974846168423632
289406212,4428185514,21.479784362752437
289406212,4307032309,26.065918157197718
289406212,662443730,26.71297268260251
289406212,4770599203,26.763753863345105
289406212,494311759,28.89899342464377
